O=C([O-])C[C@@H](O)[C@@H](O)C(=O)[O-]
NC(=O)NN(CC(=O)[O-])CC(=O)[O-]
O=C([O-])CN(CC(=O)[O-])[N+](=O)[O-]
O=C([O-])CN1CC[NH+](CC(=O)[O-])CC1
CC(C)(CSCCC(=O)[O-])C(=O)[O-]
O=C([O-])[C@@H]1[C@@H](C(=O)[O-])C1(Cl)Cl
CC(C)[C@H](CC[C@H](C)C(=O)[O-])C(=O)[O-]
OC(O)c1n[nH]c(C(O)O)n1
C=C1C[C@H](C(=O)[O-])[C@@H](C(=O)[O-])C1
O=C([O-])CC1(C(=O)[O-])CCCCCC1
C[C@H]1CCC(CC(=O)[O-])(CC(=O)[O-])C1
CC(C)(C)C1C[C@H](C(=O)[O-])C[C@H](C(=O)[O-])C1
CC(C)(CSC[C@@H](NC=O)C(=O)[O-])C(=O)[O-]
C[C@]1(C(=O)[O-])[C@H]2CC[C@H](C2)[C@H]1C(=O)[O-]
CC1(C)[C@H](C(=O)[O-])[C@H]1C(=O)NCC(=O)[O-]
O=C([O-])CSc1ccc(C(=O)[O-])cc1
O=C([O-])CC12CC3CC(C1)CC(CC(=O)[O-])(C3)C2
[NH3+][C@@H](C(=O)[O-])c1ccc(C(=O)[O-])cc1
O=C([O-])CC(COc1ccccc1)CC(=O)[O-]
O=C([O-])[C@@H]1C[C@H]2CC[C@@H]([C@H]1C(=O)[O-])C21CC1
C[C@@]1(C(=O)[O-])[C@@H](C(=O)[O-])[C@H]2CC(=O)[C@@H]1C2
C[C@@H](c1ccccc1)[C@@H](CC(=O)[O-])C(=O)[O-]
O=C([O-])c1ccc(C(=O)[O-])c(Br)c1
Cc1csc(C[NH+](CC(=O)[O-])CC(=O)[O-])n1
[NH3+][C@H](C(=O)[O-])c1cccc(CC(=O)[O-])c1
C[C@@H](Nc1ccccc1C(=O)[O-])C(=O)[O-]
C[C@@]([NH3+])(C(=O)[O-])c1ccc(C(=O)[O-])cc1
COc1ccc(OC)c(C(=O)[O-])c1C(=O)[O-]
C[C@H](CSCc1ccc(C(=O)[O-])cc1)C(=O)[O-]
CCN1C(=O)[C@H]2[C@@H](C(=O)[O-])C[C@H](C(=O)[O-])[C@@H]2C1=O
CC(C)(CSc1csc(C(=O)[O-])c1)C(=O)[O-]
